time,equity
1770940800000,1029.1074918916422
1770944400000,1029.1074918916422
1770948000000,1029.1074918916422
1770951600000,1029.1074918916422
1770955200000,1029.1074918916422
1770958800000,1029.1074918916422
1770962400000,1029.1074918916422
1770966000000,1029.1074918916422
1770969600000,1029.1074918916422
1770973200000,1029.1074918916422
1770976800000,1029.1074918916422
1770980400000,1029.1074918916422
1770984000000,1029.1074918916422
1770987600000,1029.1074918916422
1770991200000,1029.1074918916422
1770994800000,1029.1074918916422
1770998400000,1029.1074918916422
1771002000000,1029.1074918916422
1771005600000,1029.1074918916422
1771009200000,1029.1074918916422
1771012800000,1029.1074918916422
1771016400000,1029.1074918916422
1771020000000,1029.1074918916422
1771023600000,1029.1074918916422
1771027200000,1029.1074918916422
1771030800000,1029.1074918916422
1771034400000,1029.1074918916422
1771038000000,1029.1074918916422
1771041600000,1029.1074918916422
1771045200000,1029.1074918916422
1771048800000,1029.1074918916422
1771052400000,1029.1074918916422
1771056000000,1029.1074918916422
1771059600000,1029.1074918916422
1771063200000,1029.1074918916422
1771066800000,1029.1074918916422
1771070400000,1029.1074918916422
1771074000000,1029.1074918916422
1771077600000,1029.1074918916422
1771081200000,1029.1074918916422
1771084800000,1029.1074918916422
1771088400000,1029.1074918916422
1771092000000,1029.1074918916422
1771095600000,1029.1074918916422
1771099200000,1029.1074918916422
1771102800000,1029.1074918916422
1771106400000,1029.1074918916422
1771110000000,1029.1074918916422
1771113600000,1029.1074918916422
1771117200000,1029.1074918916422
1771120800000,1029.1074918916422
1771124400000,1029.1074918916422
1771128000000,1029.1074918916422
1771131600000,1029.1074918916422
1771135200000,1029.1074918916422
1771138800000,1029.1074918916422
1771142400000,1029.1074918916422
1771146000000,1029.1074918916422
1771149600000,1029.1074918916422
1771153200000,1029.1074918916422
1771156800000,1029.1074918916422
1771160400000,1029.1074918916422
1771164000000,1029.1074918916422
1771167600000,1029.1074918916422
1771171200000,1029.1074918916422
1771174800000,1029.1074918916422
1771178400000,1029.1074918916422
1771182000000,1029.1074918916422
1771185600000,1029.1074918916422
1771189200000,1029.1074918916422
1771192800000,1029.1074918916422
1771196400000,1029.1074918916422
1771200000000,1029.1074918916422
1771203600000,1029.1074918916422
1771207200000,1029.1074918916422
1771210800000,1029.1074918916422
1771214400000,1029.1074918916422
1771218000000,1029.1074918916422
1771221600000,1029.1074918916422
1771225200000,1029.1074918916422
1771228800000,1029.1074918916422
1771232400000,1029.1074918916422
1771236000000,1029.1074918916422
1771239600000,1029.1074918916422
1771243200000,1029.1074918916422
1771246800000,1029.1074918916422
1771250400000,1029.1074918916422
1771254000000,1029.1074918916422
1771257600000,1029.1074918916422
1771261200000,1029.1074918916422
1771264800000,1029.1074918916422
1771268400000,1029.1074918916422
1771272000000,1029.1074918916422
1771275600000,1029.1074918916422
1771279200000,1029.1074918916422
1771282800000,1029.1074918916422
